,roll_yield,near_by,deferred
2018-06-19,-0.046342967520044104,AG1809,AG1812
2018-06-20,-0.0420886117095572,AG1809,AG1812
2018-06-21,-0.04538136197478327,AG1809,AG1812
2018-06-22,-0.05256544359838963,AG1812,AG1906
2018-06-25,-0.05423525697628513,AG1812,AG1906
2018-06-26,-0.05154111154312403,AG1812,AG1906
2018-06-27,-0.05208764737758706,AG1812,AG1906
2018-06-28,-0.049632958906421,AG1812,AG1906
2018-06-29,-0.05010149926090554,AG1812,AG1906
2018-07-02,-0.05064897419273755,AG1812,AG1906
2018-07-03,-0.05066233946722058,AG1812,AG1906
2018-07-04,-0.051035256293618325,AG1812,AG1906
2018-07-05,-0.05058225346374046,AG1812,AG1906
2018-07-06,-0.05214251878796475,AG1812,AG1906
2018-07-09,-0.051008417439562054,AG1812,AG1906
2018-07-10,-0.051663389227048356,AG1812,AG1906
2018-07-11,-0.05125098824021191,AG1812,AG1906
2018-07-12,-0.052418619240440854,AG1812,AG1906
2018-07-13,-0.050313787984942134,AG1812,AG1906
2018-07-16,-0.05040723108606739,AG1812,AG1906
2018-07-17,-0.05105302460304792,AG1812,AG1906
2018-07-18,-0.05011713130531737,AG1812,AG1906
2018-07-19,-0.05164353633696342,AG1812,AG1906
2018-07-20,-0.05054032374474772,AG1812,AG1906
2018-07-23,-0.05035081131357658,AG1812,AG1906
2018-07-24,-0.0493719731705786,AG1812,AG1906
2018-07-25,-0.04914777225880396,AG1812,AG1906
2018-07-26,-0.04910841860548584,AG1812,AG1906
2018-07-27,-0.04983513023944067,AG1812,AG1906
2018-07-30,-0.049808438428896804,AG1812,AG1906
2018-07-31,-0.05020290285568435,AG1812,AG1906
2018-08-01,-0.04972853428521907,AG1812,AG1906
2018-08-02,-0.05035081131357658,AG1812,AG1906
2018-08-03,-0.04886805067456408,AG1812,AG1906
2018-08-06,-0.04922666909805233,AG1812,AG1906
2018-08-07,-0.04816930719132026,AG1812,AG1906
2018-08-08,-0.04935872827094458,AG1812,AG1906
2018-08-09,-0.05040481253478295,AG1812,AG1906
2018-08-10,-0.04781960505554944,AG1812,AG1906
2018-08-13,-0.0483764514830403,AG1812,AG1906
2018-08-14,-0.04780238416693243,AG1812,AG1906
